"","o1","o2","o3","o4","o5","o6","o7","o8","o9","o10","o11"
"d21632",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"d21634",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"d21658",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d23057",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
"d23060",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d23092",1,1,1,1,1,1,0,1,1,1,NA
"d23095",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d23186",1,1,1,0,NA,NA,NA,NA,NA,NA,NA
"d23285",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
"d23398",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"d23544",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"d23669",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"d23711",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d23753",1,0,1,NA,NA,NA,NA,NA,NA,NA,NA
"d23754",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"d24781",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
"d25682",1,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"d25686",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"d25687",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
"d26015",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"d26060",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"d26072",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"d26080",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"d26083",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"d26085",1,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"d26091",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d26094",1,1,1,1,1,1,NA,NA,NA,NA,NA
"d26097",1,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"d26098",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"d26109",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"d26120",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d26167",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"d26169",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"d26170",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
