Project,Subproject,Treatment,Deployment Name,ID Type,Deploy ID,Sequence ID,Begin Time,End Time,Species Name,Common Name,Age,Sex,Individual,Count,Actual Lat,Actual Lon,Fuzzed
North Carolina's Candid Critters Project,Guilford County,,Zarecky_L_Guilford1,Researcher,d23057,d23057s1,2017-07-24T10:24:07,2017-07-24T10:24:27,Camera Trapper,Camera Trapper,Unknown,Unknown,,1,36.13572,-79.83692,FALSE
North Carolina's Candid Critters Project,Guilford County,,Zarecky_L_Guilford1,Researcher,d23057,d23057s2,2017-07-25T17:02:05,2017-07-25T17:02:05,No Animal,No Animal,Unknown,Unknown,,1,36.13572,-79.83692,FALSE
North Carolina's Candid Critters Project,Guilford County,,Zarecky_L_Guilford1,Researcher,d23057,d23057s3,2017-07-25T18:32:13,2017-07-25T18:32:49,Sciurus carolinensis,Eastern Gray Squirrel,Unknown,Unknown,,1,36.13572,-79.83692,FALSE
North Carolina's Candid Critters Project,Guilford County,,Zarecky_L_Guilford1,Researcher,d23057,d23057s4,2017-07-25T18:59:31,2017-07-25T18:59:31,No Animal,No Animal,Unknown,Unknown,,1,36.13572,-79.83692,FALSE
North Carolina's Candid Critters Project,Guilford County,,Zarecky_L_Guilford1,Researcher,d23057,d23057s5,2017-07-27T16:37:18,2017-07-27T16:37:26,Raptor Species,Raptor species,Unknown,Unknown,,1,36.13572,-79.83692,FALSE
North Carolina's Candid Critters Project,Guilford County,,Zarecky_L_Guilford1,Researcher,d23057,d23057s6,2017-07-29T14:42:31,2017-07-29T14:42:31,Sciurus carolinensis,Eastern Gray Squirrel,Unknown,Unknown,,1,36.13572,-79.83692,FALSE
North Carolina's Candid Critters Project,Guilford County,,Zarecky_L_Guilford1,Researcher,d23057,d23057s7,2017-07-31T04:45:09,2017-07-31T04:45:09,Urocyon cinereoargenteus,Grey Fox,Unknown,Unknown,,1,36.13572,-79.83692,FALSE
North Carolina's Candid Critters Project,Guilford County,,Zarecky_L_Guilford1,Researcher,d23057,d23057s8,2017-07-31T13:15:51,2017-07-31T13:15:51,No Animal,No Animal,Unknown,Unknown,,1,36.13572,-79.83692,FALSE
North Carolina's Candid Critters Project,Guilford County,,Zarecky_L_Guilford1,Researcher,d23057,d23057s9,2017-08-01T01:32:56,2017-08-01T01:33:28,Procyon lotor,Northern Raccoon,Unknown,Unknown,,1,36.13572,-79.83692,FALSE
North Carolina's Candid Critters Project,Guilford County,,Zarecky_L_Guilford1,Researcher,d23057,d23057s10,2017-08-01T17:12:11,2017-08-01T17:12:11,Sciurus carolinensis,Eastern Gray Squirrel,Unknown,Unknown,,1,36.13572,-79.83692,FALSE
North Carolina's Candid Critters Project,Guilford County,,Zarecky_L_Guilford1,Researcher,d23057,d23057s11,2017-08-02T17:08:39,2017-08-02T17:08:39,Sciurus carolinensis,Eastern Gray Squirrel,Unknown,Unknown,,1,36.13572,-79.83692,FALSE
North Carolina's Candid Critters Project,Guilford County,,Zarecky_L_Guilford1,Researcher,d23057,d23057s12,2017-08-02T20:17:28,2017-08-02T20:17:28,Sciurus carolinensis,Eastern Gray Squirrel,Unknown,Unknown,,1,36.13572,-79.83692,FALSE
North Carolina's Candid Critters Project,Guilford County,,Zarecky_L_Guilford1,Researcher,d23057,d23057s13,2017-08-03T19:17:54,2017-08-03T19:17:54,Sciurus carolinensis,Eastern Gray Squirrel,Unknown,Unknown,,1,36.13572,-79.83692,FALSE
North Carolina's Candid Critters Project,Guilford County,,Zarecky_L_Guilford1,Researcher,d23057,d23057s14,2017-08-06T12:39:57,2017-08-06T12:39:57,No Animal,No Animal,Unknown,Unknown,,1,36.13572,-79.83692,FALSE
North Carolina's Candid Critters Project,Guilford County,,Zarecky_L_Guilford1,Researcher,d23057,d23057s15,2017-08-07T08:45:17,2017-08-07T08:45:31,Sciurus carolinensis,Eastern Gray Squirrel,Unknown,Unknown,,1,36.13572,-79.83692,FALSE
North Carolina's Candid Critters Project,Guilford County,,Zarecky_L_Guilford1,Researcher,d23057,d23057s16,2017-08-07T09:51:45,2017-08-07T09:53:43,Odocoileus virginianus,White-tailed Deer,Adult,Male,,2,36.13572,-79.83692,FALSE
North Carolina's Candid Critters Project,Guilford County,,Zarecky_L_Guilford1,Researcher,d23057,d23057s17,2017-08-07T09:56:33,2017-08-07T09:57:55,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,1,36.13572,-79.83692,FALSE
North Carolina's Candid Critters Project,Guilford County,,Zarecky_L_Guilford1,Researcher,d23057,d23057s17,2017-08-07T09:56:33,2017-08-07T09:57:55,Odocoileus virginianus,White-tailed Deer,Adult,Male,,1,36.13572,-79.83692,FALSE
North Carolina's Candid Critters Project,Guilford County,,Zarecky_L_Guilford1,Researcher,d23057,d23057s17,2017-08-07T09:56:33,2017-08-07T09:57:55,Odocoileus virginianus,White-tailed Deer,Juvenile,Unknown,,1,36.13572,-79.83692,FALSE
North Carolina's Candid Critters Project,Guilford County,,Zarecky_L_Guilford1,Researcher,d23057,d23057s18,2017-08-08T08:04:01,2017-08-08T08:04:01,Odocoileus virginianus,White-tailed Deer,Unknown,Unknown,,1,36.13572,-79.83692,FALSE
North Carolina's Candid Critters Project,Guilford County,,Zarecky_L_Guilford1,Researcher,d23057,d23057s19,2017-08-09T04:27:00,2017-08-09T04:27:00,No Animal,No Animal,Unknown,Unknown,,1,36.13572,-79.83692,FALSE
North Carolina's Candid Critters Project,Guilford County,,Zarecky_L_Guilford1,Researcher,d23057,d23057s20,2017-08-09T06:59:28,2017-08-09T06:59:28,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,1,36.13572,-79.83692,FALSE
North Carolina's Candid Critters Project,Guilford County,,Zarecky_L_Guilford1,Researcher,d23057,d23057s20,2017-08-09T06:59:28,2017-08-09T06:59:28,Odocoileus virginianus,White-tailed Deer,Juvenile,Unknown,,1,36.13572,-79.83692,FALSE
North Carolina's Candid Critters Project,Guilford County,,Zarecky_L_Guilford1,Researcher,d23057,d23057s21,2017-08-09T07:37:22,2017-08-09T07:37:29,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,1,36.13572,-79.83692,FALSE
North Carolina's Candid Critters Project,Guilford County,,Zarecky_L_Guilford1,Researcher,d23057,d23057s22,2017-08-10T13:40:23,2017-08-10T13:40:23,Sciurus carolinensis,Eastern Gray Squirrel,Unknown,Unknown,,1,36.13572,-79.83692,FALSE
North Carolina's Candid Critters Project,Guilford County,,Zarecky_L_Guilford1,Researcher,d23057,d23057s23,2017-08-12T07:01:15,2017-08-12T07:01:48,Odocoileus virginianus,White-tailed Deer,Unknown,Unknown,,1,36.13572,-79.83692,FALSE
North Carolina's Candid Critters Project,Guilford County,,Zarecky_L_Guilford1,Researcher,d23057,d23057s23,2017-08-12T07:01:15,2017-08-12T07:01:48,Odocoileus virginianus,White-tailed Deer,Adult,Unknown,,1,36.13572,-79.83692,FALSE
North Carolina's Candid Critters Project,Guilford County,,Zarecky_L_Guilford1,Researcher,d23057,d23057s24,2017-08-12T20:24:06,2017-08-12T20:24:06,Unknown Animal,Unknown Animal,Unknown,Unknown,,1,36.13572,-79.83692,FALSE
North Carolina's Candid Critters Project,Guilford County,,Zarecky_L_Guilford1,Researcher,d23057,d23057s25,2017-08-13T05:27:52,2017-08-13T05:27:52,Unknown Animal,Unknown Animal,Unknown,Unknown,,1,36.13572,-79.83692,FALSE
North Carolina's Candid Critters Project,Guilford County,,Zarecky_L_Guilford1,Researcher,d23057,d23057s26,2017-08-13T05:49:32,2017-08-13T05:49:32,Procyon lotor,Northern Raccoon,Unknown,Unknown,,1,36.13572,-79.83692,FALSE
North Carolina's Candid Critters Project,Guilford County,,Zarecky_L_Guilford1,Researcher,d23057,d23057s27,2017-08-14T03:29:15,2017-08-14T03:29:22,Unknown Animal,Unknown Animal,Unknown,Unknown,,1,36.13572,-79.83692,FALSE
North Carolina's Candid Critters Project,Guilford County,,Zarecky_L_Guilford1,Researcher,d23057,d23057s28,2017-08-16T09:10:29,2017-08-16T09:10:29,Camera Trapper,Camera Trapper,Unknown,Unknown,,1,36.13572,-79.83692,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s1,2017-04-16T13:06:59,2017-04-16T13:10:42,Camera Trapper,Camera Trapper,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s2,2017-04-16T13:29:29,2017-04-16T13:29:40,No Animal,No Animal,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s3,2017-04-16T13:32:22,2017-04-16T13:33:48,Camera Trapper,Camera Trapper,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s4,2017-04-17T22:52:52,2017-04-17T22:52:57,No Animal,No Animal,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
North Carolina's Candid Critters Project,Granville County,,Craig_J_Granville1,Researcher,d23092,d23092s5,2017-04-18T02:36:17,2017-04-18T02:36:20,Procyon lotor,Northern Raccoon,Unknown,Unknown,,1,36.11621,-78.56114,FALSE
